17.0,46.5,302
9.7,40.1,45
24.1,35.5,343
16.8,40.3,318
16.9,51.5,130
14.7,52.3,295
8.7,52.9,42
24.2,52.5,147
11.4,41.1,28
9.4,49.8,270
5.0,35.9,21
17.1,39.4,28
23.0,40.0,29
7.4,35.4,51
15.3,50.5,129
7.9,22.2,330
12.8,43.0,320
20.5,53.6,158
7.9,32.0,360
7.0,52.6,201
11.1,36.1,347
10.3,46.2,282
3.9,32.8,214
5.6,31.1,255
4.7,44.5,171
15.5,40.6,359
9.9,49.6,161
24.3,42.9,285
8.8,31.2,351
11.9,41.4,241
0.5,48.2,315
22.4,40.5,281
31.4,34.0,298
9.2,41.3,121
24.2,30.0,337
14.3,33.6,236
10.1,50.7,163
20.0,37.7,330
5.7,42.3,35
7.6,47.2,149
19.1,44.0,286
7.0,47.3,339
9.0,36.6,286
22.2,63.2,262
15.5,41.2,239
13.0,40.8,326
18.9,24.6,193
10.0,56.4,249
6.4,47.1,137
16.3,44.6,72
2.1,44.7,59
17.2,50.4,237
11.5,55.4,238
20.6,38.8,344
9.8,41.4,336
2.7,47.2,337
6.4,44.3,308
12.8,52.0,212
25.9,37.2,299
11.5,34.2,311
22.7,47.3,270
23.8,48.2,308
4.6,46.6,51
39.4,35.5,304
13.4,42.0,175
20.8,4.5,284
25.4,43.8,286
5.2,38.3,155
5.7,22.8,18
5.4,36.2,94
7.0,40.8,291
10.0,34.6,38
18.7,35.7,271
4.2,30.9,301
9.0,40.3,113
13.3,39.5,283
10.8,34.7,21
6.8,40.7,198
6.4,31.8,286
5.2,51.6,196
7.2,46.2,177
12.5,43.5,213
10.8,41.4,111
16.2,43.7,267
25.9,30.4,344
10.6,50.6,152
19.0,44.9,297
18.4,32.7,357
25.3,51.6,355
5.2,44.2,155
6.8,37.6,302
21.5,42.0,342
8.0,40.8,72
10.6,46.1,66
23.7,29.8,287
2.6,43.4,164
11.3,38.8,333
23.4,41.5,329
38.1,35.9,289
13.8,47.6,110
4.6,50.3,162
6.2,34.8,21
10.8,62.3,180
16.3,52.6,152
8.4,43.7,149
9.6,49.9,160
9.8,38.6,242
5.9,43.4,47
15.7,50.4,281
27.1,53.7,293
16.9,43.5,70
19.3,38.2,76
6.8,43.5,177
0.4,43.6,180
14.1,39.1,345
10.5,26.5,248
10.6,39.2,235
16.6,41.5,294
5.4,39.1,340
9.7,40.5,88
6.2,35.6,10
5.6,43.8,75
36.5,37.0,311
9.3,42.4,298
5.1,29.4,315
6.8,49.9,177
7.2,35.7,273
10.7,36.5,222
26.7,51.5,291
9.7,36.6,301
9.7,48.2,268
14.5,30.1,14
12.2,42.3,24
3.6,41.0,217
5.2,47.2,56
6.1,41.8,225
8.9,38.2,223
2.3,51.3,198
7.3,44.4,110
8.7,40.7,197
8.7,34.5,253
21.7,31.8,318
7.6,49.3,360
19.8,42.3,350
9.4,55.2,230
18.5,41.2,303
9.4,32.6,230
17.7,40.8,33
16.3,39.0,315
8.7,42.6,318
16.7,26.4,186
16.1,34.3,214
4.0,30.7,265
18.0,44.6,307
11.7,38.0,236
9.2,40.7,101
10.5,33.8,276
15.9,53.1,245
17.0,50.2,234
10.6,37.0,215
9.7,34.5,266
11.8,30.9,220
13.1,49.7,201
12.0,50.0,303
5.8,38.5,356
17.6,50.2,121
14.0,31.9,305
13.5,50.7,344
8.4,53.4,187
26.5,46.4,342
4.8,47.1,167
17.0,52.3,253
16.9,53.6,204
4.1,37.1,218
8.0,52.5,153
26.5,47.1,146
11.6,40.9,355
18.8,25.0,200
5.0,38.5,180
6.9,33.6,47
10.6,43.8,252
11.7,44.8,223
19.6,49.7,324
19.6,53.3,311
14.4,60.1,91
8.0,37.1,260
11.5,37.1,58
6.6,54.3,225
15.6,51.9,278
6.5,43.1,90
10.1,54.6,182
11.9,44.8,182
28.2,10.6,300
16.0,51.0,293
20.2,36.3,289
14.2,37.2,16
0.5,51.7,315
1.8,32.7,101
13.0,51.7,175
11.7,52.1,223
5.4,36.3,233
21.7,36.4,339
6.5,38.1,71
8.7,45.3,185
8.1,48.0,201
11.0,50.7,232
15.9,36.0,298
11.9,39.9,25
36.7,47.6,299
8.3,29.8,342
11.5,40.9,226
23.8,34.7,342
11.2,37.9,228
17.1,47.1,205
12.0,47.9,44
9.0,38.4,164
11.4,40.3,246
13.8,38.8,290
10.6,35.1,252
9.1,32.4,304
7.6,48.0,161
3.6,37.8,53
7.2,52.6,233
11.5,42.5,134
21.7,26.9,312
10.3,43.8,209
4.1,49.9,315
13.2,52.4,241
2.6,37.5,254
18.8,34.2,334
8.5,29.8,332
25.1,30.7,309
15.5,36.9,22
18.7,36.5,300
24.6,33.3,335
16.1,37.7,297
8.9,49.0,47
5.7,39.1,252
9.2,34.9,296
16.6,39.0,304
3.6,47.4,6
12.4,52.0,170
14.5,44.6,83
26.4,46.4,328
5.2,50.6,245
13.6,51.0,212
15.9,40.6,18
20.9,50.6,246
18.7,55.4,182
13.3,52.2,268
13.8,47.5,221
8.6,32.3,202
14.8,54.2,273
25.0,31.1,348
6.1,43.1,62
14.8,40.6,26
9.1,38.9,279
5.6,31.9,243
4.6,51.7,108
7.9,39.5,43
4.7,38.2,247
10.9,46.3,174
14.6,32.3,310
4.3,36.3,175
10.9,50.2,224
0.8,50.9,297
10.0,40.8,60
