"id","createdAt","tweet"
"0be999a7-3323-4d3d-8a89-a3dbdee3272e","{}","#coffee_lover #needcoffee #cup #today #evening #before #dinner #Londonweather #Cloudy #TuesdayBlessings https://t.co/z0OQjFi3T3"
"3b86c997-adcc-4f08-9279-a8ad20c1e404","{}","""RT @HanwellWeather: #WarrenFarmNR photographed by @neil5mith \n\nUp to 10°C.  A brighter day, with sunny intervals.  Tuesday a little rain ma…"""
"6cc04a5b-e465-42bb-b1e1-423d1e2da708","{}","""RT @HanwellWeather: #WarrenFarmNR photographed by @neil5mith \n\nUp to 10°C.  A brighter day, with sunny intervals.  Tuesday a little rain ma…"""
"773b9194-0618-4ff6-abdb-69e5e3fdcd86","{}","""RT @HanwellWeather: #WarrenFarmNR photographed by @neil5mith \n\nUp to 10°C.  A brighter day, with sunny intervals.  Tuesday a little rain ma…"""
"c435bbbb-c772-4a2a-bcf4-e6bc9069e973","{}","RT @Mindy70161169: Hello! sunshine 🌞 on a beautiful Monday #sunrise  have a great new  week 😀 \n#Londonweather #loveukweather #bushypark #Ca…"
"d28e9434-47bf-4bed-97ac-83873b2a0698","{}","Hello! sunshine 🌞 on a beautiful Monday #sunrise  have a great new  week 😀 \n#Londonweather #loveukweather… https://t.co/y8jrCw8hsK"
"c6b0db29-eed0-493c-872f-c20a7f7dce5a","{}","""RT @HanwellWeather: #WarrenFarmNR photographed by @neil5mith \n\nUp to 10°C.  A brighter day, with sunny intervals.  Tuesday a little rain ma…"""
"ba0d7061-a0c2-47dd-b965-024dec118940","{}","RT @Mindy70161169: Hello! sunshine 🌞 on a beautiful Monday #sunrise  have a great new  week 😀 \n#Londonweather #loveukweather #bushypark #Ca…"
"5842ae93-1e89-422e-8b9a-3d5f10572f7a","{}","""RT @HanwellWeather: #WarrenFarmNR photographed by @neil5mith \n\nUp to 10°C.  A brighter day, with sunny intervals.  Tuesday a little rain ma…"""
"2ec34759-e50a-47ab-874a-7cc7aa53f636","{}","RT @Mindy70161169: Hello! sunshine 🌞 on a beautiful Monday #sunrise  have a great new  week 😀 \n#Londonweather #loveukweather #bushypark #Ca…"
"52324611-dc2d-4058-ba0f-23302495d4fd","{}","RT @Mindy70161169: Hello! sunshine 🌞 on a beautiful Monday #sunrise  have a great new  week 😀 \n#Londonweather #loveukweather #bushypark #Ca…"
